"ip","error","bogon","hostname","city","region","country","postal","loc","timezone","asn","asn_name","asn_domain","asn_route","asn_type","abuse_address","abuse_country","abuse_email","abuse_name","abuse_network","abuse_phone","company_name","company_domain","company_type","carrier_name","carrier_mcc","carrier_mnc"
"58.217.40.197",,"false",,"Suzhou","Jiangsu","CN",,"31.3041,120.5954","Asia/Shanghai","AS4134","CHINANET-BACKBONE","cndata.com","58.208.0.0/12","isp","No.31 ,jingrong street,beijing, 100032","CN","anti-spam@ns.chinanet.cn.net","Chinanet Hostmaster","58.208.0.0/12","+86-10-58501724","CHINANET jiangsu province network","cndata.com","isp",,,
"207.117.144.54",,"false",,"El Segundo","California","US","90245","33.9192,-118.4165","America/Los_Angeles","AS3300","British Telecommunications PLC","bt.net","207.117.0.0/16","isp","BE, NA, Diegem, Telecomlaan 9, B-1831","BE","matthias.blum@bt.com","Matthias Blum","207.117.0.0/16","+3227002851","INFONET Services Corporation","infonet.com","isp",,,
"65.169.228.128",,"false",,"Reston","Virginia","US","20196","38.8318,-77.2888","America/New_York","AS1239","Sprint","sprint.net","65.168.0.0/14","business","US, VA, Reston, 12502 Sunrise Valley Drive, 20196","US","abuse@sprint.net","Sprint AUP Enforcement Team","65.160.0.0-65.174.255.255","+1-800-232-6895","Sprint","sprint.net","isp",,,
"6.84.3.236",,"false",,"Sierra Vista","Arizona","US","85613","31.5587,-110.3441","America/Phoenix",,,,,,"US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","6.0.0.0/8","+1-844-347-2457",,,,,,
"214.56.36.93",,"false",,"Columbus","Ohio","US","43218","39.9690,-83.0114","America/New_York","AS721","DoD Network Information Center","mail.mil","214.0.0.0/8","isp","US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","214.0.0.0/8","+1-844-347-2457","DoD Network Information Center","mail.mil","isp",,,
"9.43.145.245",,"false",,"Durham","North Carolina","US","27709","36.0512,-78.8577","America/New_York",,,,,,"US, NC, Research Triangle Park, 3039 Cornwallis Road, 27709-2195","US","ipreg@us.ibm.com","Registrar Authority, Internet numbers","9.9.10.0-9.255.255.255","+1-800-426-7378","IBM","ibm.com","business",,,
"231.199.26.76",,"true",,,,,,,,,,,,,,,,,,,,,,,,
"86.189.47.78",,"false",,"London","England","GB","EC1A","51.5085,-0.1257","Europe/London","AS2856","British Telecommunications PLC","btplc.com","86.128.0.0/10","isp",,"GB","abuse@bt.com","Abuse-C Role","86.189.32.0/19",,"BT Infrastructure Layer","bt.com","isp",,,
"3.122.58.75",,"false","ec2-3-122-58-75.eu-central-1.compute.amazonaws.com","Frankfurt am Main","Hesse","DE","60311","50.1155,8.6842","Europe/Berlin","AS16509","Amazon.com, Inc.","amazon.com","3.120.0.0/14","business","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","3.120.0.0/14","+1-206-266-4064","A100 ROW GmbH","amazon.com","business",,,
"251.133.143.149",,"true",,,,,,,,,,,,,,,,,,,,,,,,
"6.142.181.83",,"false",,"Sierra Vista","Arizona","US","85613","31.5587,-110.3441","America/Phoenix",,,,,,"US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","6.0.0.0/8","+1-844-347-2457",,,,,,
"2.55.191.86",,"false","2-55-191-86.orange.net.il","Tel Aviv","Tel Aviv","IL",,"32.0809,34.7806","Asia/Jerusalem","AS12400","Partner Communications Ltd.","orange.co.il","2.55.128.0/17","isp",,"IL","abuse@partner.co.il","Abuse-C Role","2.55.0.0/16",,"Partner Communications Ltd.","orange.co.il","isp","Partner Communications Company Ltd.","425","1"
"90.189.58.233",,"false","pppoe-90.189.58.233.chittel.su","Novosibirsk","Novosibirsk Oblast","RU","630099","55.0411,82.9344","Asia/Novosibirsk","AS12389","PJSC Rostelecom","rostelecom.ru","90.189.0.0/18","isp","PJSC Rostelecom, Russian Federation","RU","abuse@rt.ru",,"90.189.32.0/19",,"OJSC Sibirtelecom","sibirtelecom.ru","business",,,
"57.3.139.111",,"false",,"Les Avanchets","Geneva","CH","1216","46.2267,6.1055","Europe/Zurich",,,,,,"SITA","BE","abuse@sita.aero",,"57.0.0.0-57.6.255.255",,"Societe Internationale de Telecommunications Aeronautiques","sita.aero","business",,,
"41.130.99.194",,"false",,"Cairo","Cairo","EG",,"30.0626,31.2497","Africa/Cairo","AS24863","Link Egypt (Link.NET)","link.net","41.130.96.0/22","isp","77, Misr - Helwan Agricultural Road, Maadi, Cairo, Egypt, Cairo, Egypt","EG","ahmed.iali@mail.link.net","Ahmed Ibrahim Ali","41.129.0.0-41.131.255.255","tel:+20-2-27686500","Link Egypt (Link.NET)","link.net","isp",,,
"1.59.123.14",,"false",,"Daqing","Heilongjiang","CN",,"46.5833,125.0000","Asia/Shanghai","AS4837","CHINA UNICOM China169 Backbone","chinaunicom.cn","1.56.0.0/13","isp","No.21,Financial Street, Beijing,100033, P.R.China","CN","hqs-ipabuse@chinaunicom.cn","ChinaUnicom Hostmaster","1.56.0.0/13","+86-10-66259764","China Unicom Heilongjiang province network","chinaunicom.cn","isp",,,
"9.119.131.109",,"false",,"Durham","North Carolina","US","27709","36.0512,-78.8577","America/New_York",,,,,,"US, NC, Research Triangle Park, 3039 Cornwallis Road, 27709-2195","US","ipreg@us.ibm.com","Registrar Authority, Internet numbers","9.9.10.0-9.255.255.255","+1-800-426-7378","IBM","ibm.com","business",,,
